"Code","Categorie","Nom fédération","Nom catégorie"
"CF101",1,"Fédération française d'athlétisme","Fédération unisport olympique"
"CF102",1,"Fédération française d'aviron","Fédération unisport olympique"
"CF103",1,"Fédération française de badminton","Fédération unisport olympique"
"CF105",1,"Fédération française de basketball","Fédération unisport olympique"
"CF106",1,"Fédération française de boxe","Fédération unisport olympique"
"CF107",1,"Fédération française de canoë-kayak","Fédération unisport olympique"
"CF108",1,"Fédération française de cyclisme","Fédération unisport olympique"
"CF109",1,"Fédération française d'équitation","Fédération unisport olympique"
"CF110",1,"Fédération française d'escrime","Fédération unisport olympique"
"CF111",1,"Fédération française de football","Fédération unisport olympique"
"CF112",1,"Fédération française des sports de glace","Fédération unisport olympique"
"CF113",1,"Fédération française de gymnastique","Fédération unisport olympique"
"CF114",1,"Fédération française d'haltérophilie, musculation","Fédération unisport olympique"
"CF115",1,"Fédération française de handball","Fédération unisport olympique"
"CF116",1,"Fédération française de hockey","Fédération unisport olympique"
"CF117",1,"Fédération française de judo-jujitsu et disciplines associées","Fédération unisport olympique"
"CF118",1,"Fédération française de lutte et disciplines associées","Fédération unisport olympique"
"CF119",1,"Fédération française de natation","Fédération unisport olympique"
"CF121",1,"Fédération française de ski","Fédération unisport olympique"
"CF122",1,"Fédération française de taekwondo et disciplines associées","Fédération unisport olympique"
"CF123",1,"Fédération française de tennis","Fédération unisport olympique"
"CF124",1,"Fédération française de tennis de table","Fédération unisport olympique"
"CF125",1,"Fédération française de tir","Fédération unisport olympique"
"CF126",1,"Fédération française de tir à l'arc","Fédération unisport olympique"
"CF127",1,"Fédération française de triathlon","Fédération unisport olympique"
"CF128",1,"Fédération française de voile","Fédération unisport olympique"
"CF129",1,"Fédération française de volley-ball","Fédération unisport olympique"
"CF131",1,"Fédération française de hockey sur glace","Fédération unisport olympique"
"CF132",1,"Fédération française de golf","Fédération unisport olympique"
"CF133",1,"Fédération française de rugby","Fédération unisport olympique"
"CF201",2,"Fédération française d'aéromodélisme","Fédération unisport non olympique"
"CF202",2,"Fédération française d'aéronautique","Fédération unisport non olympique"
"CF203",2,"Fédération française d'aérostation","Fédération unisport non olympique"
"CF204",2,"Fédération française d'aïkido, d'aïkibudo et affinitaires","Fédération unisport non olympique"
"CF205",2,"Fédération française d'aïkido et de budo","Fédération unisport non olympique"
"CF206",2,"Fédération française du sport automobile","Fédération unisport non olympique"
"CF209",2,"Fédération française de ball-trap et de tir à balle","Fédération unisport non olympique"
"CF210",2,"Fédération française de billard","Fédération unisport non olympique"
"CF211",2,"Fédération française du sport boules","Fédération unisport non olympique"
"CF212",2,"Fédération française de boxe française, savate et disciplines associées","Fédération unisport non olympique"
"CF213",2,"Fédération française de bowling et de sports de quilles","Fédération unisport non olympique"
"CF214",2,"Fédération française de char à voile","Fédération unisport non olympique"
"CF215",2,"Fédération française de la course camarguaise","Fédération unisport non olympique"
"CF216",2,"Fédération française de la course landaise","Fédération unisport non olympique"
"CF217",2,"Fédération française de la course d'orientation","Fédération unisport non olympique"
"CF218",2,"Fédération française de cyclotourisme","Fédération unisport non olympique"
"CF219",2,"Fédération française de danse","Fédération unisport non olympique"
"CF221",2,"Fédération française d'études et sports sous-marins","Fédération unisport non olympique"
"CF222",2,"Fédération française de football américain","Fédération unisport non olympique"
"CF226",2,"Fédération française de javelot tir sur cible","Fédération unisport non olympique"
"CF228",2,"Fédération française de joutes et sauvetage nautique","Fédération unisport non olympique"
"CF229",2,"Fédération française de karaté et disciplines associées","Fédération unisport non olympique"
"CF232",2,"Fédération française de la montagne et de l'escalade","Fédération unisport non olympique"
"CF233",2,"Fédération française de motocyclisme","Fédération unisport non olympique"
"CF234",2,"Fédération française de motonautique","Fédération unisport non olympique"
"CF237",2,"Fédération française de parachutisme","Fédération unisport non olympique"
"CF241",2,"Fédération française de pelote basque","Fédération unisport non olympique"
"CF242",2,"Fédération française de pétanque et jeu provençal","Fédération unisport non olympique"
"CF243",2,"Fédération française de planeur ultra léger motorisé","Fédération unisport non olympique"
"CF244",2,"Fédération française de pulka et traineau à chiens","Fédération unisport non olympique"
"CF245",2,"Fédération française de la randonnée pédestre","Fédération unisport non olympique"
"CF246",2,"Fédération française de roller et skateboard","Fédération unisport non olympique"
"CF249",2,"Fédération française de sauvetage et secourisme","Fédération unisport non olympique"
"CF250",2,"Fédération française de ski nautique et wake board","Fédération unisport non olympique"
"CF252",2,"Fédération française de squash","Fédération unisport non olympique"
"CF253",2,"Fédération française de surf","Fédération unisport non olympique"
"CF254",2,"Fédération française des Arts Energétiques et Martiaux Chinois","Fédération unisport non olympique"
"CF255",2,"Fédération française des sports de traîneau","Fédération unisport non olympique"
"CF256",2,"Fédération française de twirling bâton","Fédération unisport non olympique"
"CF257",2,"Fédération française de vol à voile","Fédération unisport non olympique"
"CF258",2,"Fédération française de vol libre","Fédération unisport non olympique"
"CF261",2,"Fédération française de kick-boxing, muay-thaï et disciplines associées","Fédération unisport non olympique"
"CF262",2,"Fédération française de baseball et softball","Fédération unisport non olympique"
"CF264",2,"Fédération Flying Disc France","Fédération unisport non olympique"
"CF265",2,"Fédération nautique de pêche sportive en apnée","Fédération unisport non olympique"
"CF266",2,"Fédération française de force","Fédération unisport non olympique"
"CF267",2,"Fédération française des pêches sportives","Fédération unisport non olympique"
"CF401",4,"Fédération française des clubs alpins et de montagne","Fédération multisports affinitaire"
"CF402",4,"Fédération française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"CF403",4,"Fédération française sport pour tous","Fédération multisports affinitaire"
"CF404",4,"Fédération française de la retraite sportive","Fédération multisports affinitaire"
"CF405",4,"Fédération française du sport travailliste","Fédération multisports affinitaire"
"CF406",4,"Fédération des clubs de la défense","Fédération multisports affinitaire"
"CF407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"CF408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"CF409",4,"Fédération française Maccabi","Fédération multisports affinitaire"
"CF410",4,"Fédération sportive et gymnique du travail (FSGT)","Fédération multisports affinitaire"
"CF413",4,"Union française des œuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
"CF415",4,"Fédération française omnisports des personnels de l'éducation nationale de la jeunesse et sports (2F OPEN-JS)","Fédération multisports affinitaire"
"CF417",4,"Union nationale sportive Léo Lagrange","Fédération multisports affinitaire"
"CF418",4,"Fédération française du sport d'entreprise","Fédération multisports affinitaire"
"CF420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"CF501",5,"Fédération française handisport","Fédération multisports sport et handicap"
"CF601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"CF603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"CF604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"CF605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
