"unique_id","insee","is_student","current_age","Activity_type","sex","household_type","JOB_42","highest_diploma","target"
4,"01004",FALSE,35,"type|1|1","Male","TYPEM4-1","csp_4_6","edu1-1",47.6765
5,"01004",TRUE,20,"type|2|2","Female","TYPEM2-0","csp_8_4","edu1-4",84.3179
6,"01004",FALSE,81,"type|2|1","Female","TYPEM1-2","csp_7_5","edu1-6",52.5475
8,"01004",FALSE,52,"type|1|1","Male","TYPEM4-2","csp_6_3","edu1-3",52.8861
11,"01007",FALSE,45,"type|1|1","Male","TYPEM4-1","csp_2_1","edu1-3",64.5936
13,"01012",FALSE,45,"type|1|1","Male","TYPEM4-1","csp_3_8","edu1-3",64.0469
14,"01014",TRUE,19,"type|2|2","Male","TYPEM2-0","csp_8_4","edu1-4",87.052
16,"01014",FALSE,24,"type|1|1","Male","TYPEM1-1","csp_6_2","edu1-3",57.6965
20,"01022",FALSE,24,"type|1|1","Male","TYPEM4-2","csp_5_2","edu1-4",46.9761
21,"01024",FALSE,51,"type|1|1","Male","TYPEM4-1","csp_4_2","edu1-6",70.7123
23,"01025",FALSE,52,"type|1|1","Female","TYPEM4-1","csp_5_2","edu1-4",52.6154
26,"01026",FALSE,50,"type|1|1","Male","TYPEM4-1","csp_6_3","edu1-5",65.2348
29,"01031",FALSE,61,"type|2|1","Male","TYPEM4-3","csp_7_8","edu1-2",51.676
31,"01032",FALSE,69,"type|2|1","Male","TYPEM1-1","csp_7_4","edu1-8",61.4174
32,"01032",FALSE,23,"type|1|1","Male","TYPEM3-1","csp_4_2","edu1-6",57.6442
34,"01033",FALSE,45,"type|1|1","Female","TYPEM4-1","csp_3_4","edu1-7",63.4413
36,"01033",FALSE,51,"type|1|1","Female","TYPEM4-1","csp_6_8","edu1-3",41.6699
41,"01034",FALSE,45,"type|1|1","Male","TYPEM4-1","csp_2_3","edu1-4",58.3427
42,"01034",FALSE,62,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-3",40.2856
43,"01034",FALSE,67,"type|2|1","Male","TYPEM4-4","csp_7_4","edu1-5",48.8016
44,"01034",FALSE,68,"type|2|5","Male","TYPEM1-1","csp_8_6","edu3",51.6033
46,"01038",FALSE,38,"type|1|1","Female","TYPEM1-2","csp_4_6","edu1-6",58.5316
47,"01038",FALSE,46,"type|1|1","Male","TYPEM4-1","csp_6_5","edu1-3",48.0688
53,"01047",FALSE,42,"type|1|1","Female","TYPEM4-1","csp_4_7","edu1-6",52.9024
54,"01049",FALSE,70,"type|2|1","Female","TYPEM4-4","csp_7_8","edu1-3",46.1098
55,"01050",FALSE,53,"type|1|1","Female","TYPEM1-2","csp_6_2","edu1-3",42.8272
57,"01053",FALSE,57,"type|1|1","Female","TYPEM4-1","csp_4_6","edu1-7",59.165
