"unique_id","Company_category","contract_type","ECO_SECT","JOB_CONDITION","JOB_CATEGORY","WORKING_HOURS","Emolument","employee_count","Job_dep","Work_description"
4,"ct_9","CDI","IZ","C","O",1984,22754,"tr_2","01","468a"
8,"ct_9","CDI","FZ","C","O",1764,25344,"tr_1","01","632e"
13,"ct_9","CDI","MA","C","O",227,31371,"tr_3","69","388a"
16,"ct_9","CDI","FZ","C","O",1663,16231,"tr_6","69","622c"
20,"ct_3","AUT","QA","Y","O",645,8557,"tr_6","69","525d"
21,"ct_8","CDI","QB","C","O",1820,18758,"tr_4","01","423b"
23,"ct_6","CDI","QA","C","O",1820,20688,"tr_1","01","526b"
26,"ct_6","CDI","FZ","C","O",1804,20459,"tr_1","01","632g"
34,"ct_9","CDI","GZ","P","O",946,18361,"tr_1","69","344d"
36,"ct_9","CDI","GZ","P","O",1497,13748,"tr_2","01","684a"
46,"ct_9","CDI","GZ","C","O",1820,17370,"tr_3","01","461d"
47,"ct_9","CDI","GZ","C","O",1807,18896,"tr_5","01","653a"
53,"ct_9","CDI","CF","C","O",1974,29371,"tr_5","01","475a"
55,"ct_9","CDI","CK","F","O",455,17573,"tr_6","01","623e"
57,"ct_9","CDI","KZ","C","O",1820,34544,"tr_1","71","461b"
64,"ct_9","CDI","DZ","C","O",1820,44642,"tr_6","01","372d"
71,"ct_5","CDI","HZ","F","O",549,8448,"tr_4","01","641b"
77,"ct_9","CDI","GZ","C","O",1667,19150,"tr_1","69","556a"
78,"ct_8","CDI","OZ","C","O",1848,36028,"tr_6","69","376f"
83,"ct_6","CDI","IZ","P","O",1416,12564,"tr_3","69","561d"
87,"ct_8","AUT","RZ","C","X",1372,10267,"tr_0","01","424a"
97,"ct_8","CDI","IZ","P","O",1942,16185,"tr_1","01","636d"
100,"ct_8","CDI","QB","P","O",1662,16027,"tr_5","01","543b"
105,"ct_8","AUT","QB","C","X",1820,12679,"tr_3","01","434e"
106,"ct_9","CDI","LZ","C","O",1820,19322,"tr_1","01","542a"
107,"ct_9","AUT","CA","C","O",1182,13563,"tr_1","01","636c"
109,"ct_9","CDI","FZ","C","O",1701,23417,"tr_4","69","382d"
113,"ct_9","CDI","GZ","C","O",2022,21283,"tr_3","01","487a"
124,"ct_9","CDI","GZ","C","O",2109,18720,"tr_1","01","477c"
130,"ct_9","CDI","GZ","P","O",1334,17259,"tr_1","01","433d"
137,"ct_9","CDI","GZ","C","O",1820,15810,"tr_4","06","462e"
142,"ct_9","CDI","CG","C","O",2019,23439,"tr_3","01","628g"
146,"ct_3","CDI","QA","P","O",531,5413,"tr_6","01","523d"
149,"ct_9","CDI","IZ","C","O",428,12679,"tr_1","01","561b"
