"unique_id","Club"
16,"CF132"
29,"CF404"
31,"CF101"
36,"CF402"
60,"CF132"
61,"CF402"
67,"CF105"
88,"CF102"
109,"CF115"
128,"CF105"
130,"CF219"
152,"CF242"
156,"CF111"
171,"CF113"
174,"CF233"
175,"CF111"
192,"CF111"
194,"CF242"
195,"CF211"
203,"CF123"
207,"CF404"
247,"CF111"
270,"CF133"
272,"CF404"
277,"CF125"
283,"CF133"
284,"CF401"
305,"CF101"
311,"CF132"
324,"CF219"
375,"CF111"
380,"CF404"
381,"CF115"
387,"CF402"
408,"CF257"
413,"CF219"
416,"CF111"
438,"CF129"
440,"CF242"
457,"CF111"
483,"CF133"
558,"CF111"
576,"CF111"
587,"CF402"
595,"CF111"
596,"CF242"
609,"CF111"
616,"CF604"
622,"CF245"
628,"CF108"
648,"CF115"
654,"CF111"
674,"CF119"
690,"CF205"
696,"CF413"
699,"CF111"
705,"CF133"
736,"CF246"
739,"CF403"
741,"CF403"
749,"CF123"
753,"CF403"
770,"CF402"
776,"CF105"
785,"CF233"
791,"CF132"
795,"CF408"
800,"CF605"
845,"CF111"
871,"CF107"
880,"CF121"
893,"CF133"
915,"CF206"
922,"CF410"
926,"CF211"
927,"CF111"
937,"CF124"
960,"CF122"
963,"CF413"
982,"CF402"
1015,"CF111"
1032,"CF121"
1050,"CF262"
1082,"CF132"
1087,"CF132"
1088,"CF127"
1091,"CF410"
1104,"CF410"
1123,"CF401"
1162,"CF132"
1187,"CF229"
1206,"CF252"
1219,"CF109"
1231,"CF111"
1233,"CF604"
1248,"CF111"
1249,"CF129"
1255,"CF403"
1257,"CF117"
1261,"CF125"
1294,"CF125"
1311,"CF101"
1319,"CF233"
1336,"CF406"
1341,"CF229"
1358,"CF132"
1360,"CF101"
1388,"CF119"
1394,"CF111"
1406,"CF133"
1420,"CF221"
1424,"CF101"
1431,"CF111"
1433,"CF125"
1444,"CF111"
1445,"CF129"
1454,"CF111"
1462,"CF245"
1466,"CF123"
1467,"CF105"
1482,"CF233"
1496,"CF121"
1500,"CF125"
1524,"CF113"
1548,"CF402"
1551,"CF103"
1556,"CF109"
1562,"CF206"
1567,"CF601"
1577,"CF604"
1582,"CF105"
1586,"CF402"
1588,"CF109"
1592,"CF420"
1603,"CF121"
1606,"CF132"
1613,"CF105"
1623,"CF123"
1639,"CF245"
1643,"CF420"
1649,"CF109"
1659,"CF111"
1660,"CF202"
1670,"CF108"
1681,"CF109"
1712,"CF123"
1719,"CF604"
1733,"CF404"
1748,"CF132"
1760,"CF123"
1762,"CF123"
1782,"CF219"
1808,"CF101"
1809,"CF123"
1814,"CF128"
1817,"CF103"
1844,"CF410"
1919,"CF125"
1929,"CF124"
1943,"CF123"
1958,"CF206"
1962,"CF604"
1986,"CF111"
1991,"CF242"
2000,"CF402"
2001,"CF601"
2013,"CF112"
2020,"CF249"
2035,"CF111"
2040,"CF232"
2042,"CF410"
2096,"CF242"
2098,"CF123"
2103,"CF111"
2118,"CF132"
2126,"CF410"
